codigo_materia,grupo,capacidad,profesor,materia,dia,hora_inicio,hora_fin,edificio,salon,matriculados
22955,A1,20,GUSTAVO ADOLFO GOMEZ GOMEZ,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,MARTES,6:00,8:00,CENTIC,324,17
22955,A1,20,GUSTAVO ADOLFO GOMEZ GOMEZ,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,JUEVES,6:00,8:00,CENTIC,324,17
22955,B1,20,LAURA VIVIANA GALVIS CARREÑO,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,MARTES,8:00,10:00,CENTIC,103,20
22955,B1,20,LAURA VIVIANA GALVIS CARREÑO,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,JUEVES,8:00,10:00,CENTIC,313,20
22955,C1,20,LAURA VIVIANA GALVIS CARREÑO,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,MARTES,10:00,12:00,CENTIC,111,18
22955,C1,20,LAURA VIVIANA GALVIS CARREÑO,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,JUEVES,10:00,12:00,CENTIC,111,18
22955,E1,20,JEISON MAURICIO DELGADO GONZALEZ,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,MIERCOLES,14:00,16:00,CENTIC,310,20
22955,E1,20,JEISON MAURICIO DELGADO GONZALEZ,ESTRUC.DE.DATOS Y ANALISIS DE ALGORITMOS,VIERNES,14:00,16:00,CENTIC,310,20
